model_key,model_label,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_gamma,param_kernel,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_subsample,param_colsample_bytree,param_min_child_samples,param_num_leaves,param_reg_alpha,param_depth,param_iterations,param_l2_leaf_reg
lgbm,LightGBM,0.9647852897644043,0.01209362685600307,0.014652538299560546,0.0006468490245447591,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 31, 'reg_alpha': 1.0}",0.5939337950825635,0.5656773009618906,0.5580845216751074,0.5599198221195473,0.556413097281886,0.566805707424199,0.01391896033483228,259,0.8865893141982147,0.8929896231608836,0.8934410186946607,0.891794241039593,0.8899976611241232,0.890962371643495,0.0024899696551194898,,,,,,200.0,0.05,,,20.0,31.0,1.0,,,
lgbm,LightGBM,1.8027848243713378,0.06800150265474844,0.022253990173339844,0.00431207686424731,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 63, 'reg_alpha': 0.0}",0.6043525745074025,0.5866154166562821,0.5348601383979356,0.5649767389000425,0.5764844111689574,0.573457855926124,0.02323135046276059,165,0.9750053089378748,0.9775860845026142,0.9817719524078187,0.9766373163168105,0.9765893008847932,0.9775179926099822,0.002282649721587397,,,,,,200.0,0.05,,,20.0,63.0,0.0,,,
lgbm,LightGBM,1.9146955966949464,0.018027629960369003,0.017524242401123047,0.0005315692012555855,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 63, 'reg_alpha': 0.1}",0.5971490683270984,0.596212000885591,0.5484352742120077,0.555615529720627,0.5736791175812249,0.5742181981453098,0.020103040631686286,158,0.9780057709165604,0.9722140366988453,0.9757957470968331,0.9772407376387104,0.9760109704324138,0.9758534525566727,0.001991508162606057,,,,,,200.0,0.05,,,20.0,63.0,0.1,,,
lgbm,LightGBM,1.878555679321289,0.02449506947958742,0.016997385025024413,0.002405645983895984,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 63, 'reg_alpha': 1.0}",0.5895068976296555,0.5782516753110188,0.5543942109875162,0.5539065331216262,0.5749039618351409,0.5701926557769915,0.013964331619367176,217,0.9510923214270758,0.9538862343895321,0.9512562457305302,0.9564668562599118,0.9528620965567497,0.9531127508727598,0.001971794805403787,,,,,,200.0,0.05,,,20.0,63.0,1.0,,,
lgbm,LightGBM,2.30558385848999,0.03271535041148134,0.017966747283935547,0.0005155888733102915,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 127, 'reg_alpha': 0.0}",0.5975593743573545,0.5824354083518282,0.5526229789492517,0.5415103208915616,0.5834320837993512,0.5715120332698694,0.020960776819060403,199,0.9875337847374114,0.9895358782421535,0.9907169439637952,0.9907553307143465,0.9865359023025937,0.98901556799206,0.0017050865566698614,,,,,,200.0,0.05,,,20.0,127.0,0.0,,,
lgbm,LightGBM,2.3010066032409666,0.05326724906413685,0.017743492126464845,0.0003463085005053599,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 127, 'reg_alpha': 0.1}",0.6038707862370792,0.5836308764964376,0.5524427705254928,0.5527734879130161,0.5778488732224243,0.57411335887889,0.019570621780676933,159,0.9881060870972124,0.9873526318244236,0.9893222181262109,0.9873576781387006,0.9837459712652564,0.9871769172903606,0.0018601404740081686,,,,,,200.0,0.05,,,20.0,127.0,0.1,,,
lgbm,LightGBM,2.0771931648254394,0.04917682784892101,0.016343975067138673,0.00015709925383835667,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 200, 'num_leaves': 127, 'reg_alpha': 1.0}",0.5983279397867125,0.5754101265406182,0.5531770981889835,0.5584431079294868,0.5736258041553784,0.571796815320236,0.015781743571074078,195,0.9586776671407262,0.9598712899319022,0.9558387155642987,0.9614471198660499,0.9598631861382644,0.9591395957282483,0.0018704446002162857,,,,,,200.0,0.05,,,20.0,127.0,1.0,,,
lgbm,LightGBM,1.4025824069976807,0.054669330612705805,0.017166852951049805,0.00032435236722259074,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 31, 'reg_alpha': 0.0}",0.5889609494694873,0.5797993440939414,0.5658262221967891,0.5667872632828925,0.5530224040135518,0.5708792366113324,0.012390805689748062,209,0.9466990848743153,0.944506956906998,0.9407054715936686,0.9495062373542089,0.9432960227961329,0.9449427547050648,0.0029921993055034607,,,,,,300.0,0.05,,,20.0,31.0,0.0,,,
lgbm,LightGBM,1.4409727573394775,0.010600637846041525,0.016815185546875,0.00029421783908591733,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 31, 'reg_alpha': 0.1}",0.5942432162002357,0.5811847686356876,0.561286818085783,0.557154633859436,0.5927538590307324,0.5773246591623749,0.015512836575470305,91,0.94190765160061,0.9430687417671582,0.9413067535161007,0.9449097537745171,0.9423175207465365,0.9427020842809843,0.0012437204383580099,,,,,,300.0,0.05,,,20.0,31.0,0.1,,,
lgbm,LightGBM,1.4261322498321534,0.018979009232051886,0.016375350952148437,0.00030610299070292046,,,"{'learning_rate': 0.05, 'min_child_samples': 20, 'n_estimators': 300, 'num_leaves': 31, 'reg_alpha': 1.0}",0.5939337950825635,0.5756230639617439,0.5414780968901372,0.5571271871423149,0.5667872632828925,0.5669898812719304,0.017599268545467815,256,0.9225257477678354,0.9271382772659458,0.9281101851759703,0.9293374854185324,0.9227318145936275,0.9259687020443822,0.0028154549239143727,,,,,,300.0,0.05,,,20.0,31.0,1.0,,,
